Instance,LB,zopt,gap,CPU,zinit,z1,cpu1,z2,cpu2,z3,cpu3,z4,gap4,cpu4
ins10-1,218.2,218.2,0.00%,2,464.4,218.2,< 1,218.2,< 1,218.2,< 1,218.2,0.00%,< 1
ins10-2,246.6,246.6,0.00%,5,1034.4,248.1,< 1,248.1,< 1,248.1,< 1,248.1,0.60%,< 1
ins10-3,305.8,305.9,0.00%,7,569.1,305.9,< 1,316.4,< 1,316.4,< 1,305.9,0.00%,< 1
ins10-4,186.9,186.9,0.00%,8,676.3,186.9,< 1,186.9,< 1,186.9,< 1,186.9,0.00%,< 1
ins10-5,189.5,189.5,0.00%,2,421.2,201.1,< 1,192,< 1,192,< 1,192,1.30%,< 1
ins10-6,200.1,200.1,0.00%,2,1282.3,200.1,< 1,200.1,< 1,200.1,< 1,200.1,0.00%,< 1
ins10-7,225.4,225.4,0.00%,1,933.6,225.4,< 1,225.4,< 1,225.4,< 1,225.4,0.00%,< 1
ins10-8,232,232,0.00%,4,296,232,< 1,232,< 1,232,< 1,232,0.00%,< 1
ins10-9,222.3,222.3,0.00%,20,781.2,230.6,< 1,230.6,< 1,222.3,< 1,222.3,0.00%,< 1
ins10-10,225,225,0.00%,1,1540.4,225,< 1,225,< 1,225,< 1,225,0.00%,< 1
ins25-1,378.7,1134.9,66.60%,36000,2215,491.3,< 1,490.3,< 1,458.9,< 1,458.9,17.50%,< 1
ins25-2,427.9,476.2,10.10%,36000,1228.7,580.9,< 1,544.2,< 1,580.9,< 1,580.9,26.30%,< 1
ins25-3,391.2,399.2,2.00%,36000,3663.8,442,< 1,461.6,< 1,431.4,< 1,431.4,9.30%,< 1
ins25-4,330.4,576,42.60%,36000,1402.4,587.3,< 1,577.5,< 1,587.3,< 1,587.3,43.70%,< 1
ins25-5,311,599.4,48.10%,36000,2469.3,431.5,< 1,396.9,< 1,391.1,< 1,391.1,20.50%,< 1
ins25-6,274.2,1357.5,79.80%,36000,1058.5,545.9,< 1,534.7,< 1,545.9,< 1,545.9,49.80%,< 1
ins25-7,310.6,432.3,28.20%,36000,1184.3,366.2,< 1,355.5,< 1,356.6,< 1,356.6,12.90%,< 1
ins25-8,332.4,357.8,7.10%,36000,504.2,421.6,< 1,425.3,< 1,410.9,< 1,410.9,19.10%,< 1
ins25-9,293.7,403.8,27.30%,36000,782.7,591.2,< 1,532.5,< 1,487.9,< 1,487.9,39.80%,< 1
ins25-10,381,629.9,39.50%,36000,3216.6,507.6,< 1,500.4,< 1,500.4,< 1,500.4,23.90%,< 1
ins50-1,401.1,missing,missing,36000,2263.7,1246.7,< 1,1259.9,< 1,1123.6,< 1,1123.6,64.30%,< 1
ins50-2,314.9,missing,missing,36000,1063.3,749.2,< 1,673.8,< 1,677,< 1,677,53.50%,< 1
ins50-3,323.5,missing,missing,36000,1359.5,693.1,< 1,665.7,< 1,642.4,< 1,642.4,49.60%,< 1
ins50-4,329.4,missing,missing,36000,1460.1,594.4,< 1,581.9,< 1,580.4,< 1,580.4,43.20%,< 1
ins50-5,404.2,missing,missing,36000,1412.3,779.4,< 1,775.7,< 1,754.6,< 1,754.6,46.40%,< 1
ins50-6,308.2,missing,missing,36000,2313,993.6,< 1,994.8,< 1,951.6,< 1,951.6,67.60%,< 1
ins50-7,315.7,4753.5,93.40%,36000,772,654.1,< 1,633.8,< 1,577.4,< 1,577.4,45.30%,< 1
ins50-8,336.3,missing,missing,36000,949.2,566.4,< 1,566.2,< 1,540.6,< 1,540.6,37.80%,< 1
ins50-9,306.5,missing,missing,36000,1072.6,708.7,< 1,638.6,< 1,608.7,< 1,608.7,49.60%,< 1
ins50-10,386.4,missing,missing,36000,1367.5,749.4,< 1,728.6,< 1,679.3,< 1,679.3,43.10%,< 1
ins75-1,456.7,missing,missing,36000,4072.6,1480.8,1,1657.3,5,1321.8,5,1321.8,65.40%,5
ins75-2,336.8,missing,missing,36000,1361.7,931.6,1,898.3,4,892.7,4,892.7,62.30%,4
ins75-3,355.7,missing,missing,36000,1482,891.6,1,883.3,4,819.4,4,819.4,56.60%,6
