Instance,Obj2014,obj,numiteration,time(second),time(min)
ins10-1,218.2,0,0,0.00,0.00
ins10-2,248.1,0,0,0.00,0.00
ins10-3,305.9,0,0,0.00,0.00
ins10-4,186.9,0,0,0.00,0.00
ins10-5,192.0,0,0,0.00,0.00
ins10-6,200.1,0,0,0.00,0.00
ins10-7,225.4,0,0,0.00,0.00
ins10-8,232.0,0,0,0.00,0.00
ins10-9,222.3,0,0,0.00,0.00
ins10-10,225.0,0,0,0.00,0.00
ins25-1,458.9,0,0,0.00,0.00
ins25-2,544.2,0,0,0.00,0.00
ins25-3,431.4,0,0,0.00,0.00
ins25-4,577.5,0,0,0.00,0.00
ins25-5,391.1,0,0,0.00,0.00
ins25-6,534.7,0,0,0.00,0.00
ins25-7,355.5,0,0,0.00,0.00
ins25-8,410.9,0,0,0.00,0.00
ins25-9,487.9,0,0,0.00,0.00
ins25-10,500.4,0,0,0.00,0.00
ins50-1,1123.6,0,0,0.00,0.00
ins50-2,673.8,0,0,0.00,0.00
ins50-3,642.4,0,0,0.00,0.00
ins50-4,580.4,0,0,0.00,0.00
ins50-5,754.6,0,0,0.00,0.00
ins50-6,951.6,0,0,0.00,0.00
ins50-7,577.4,0,0,0.00,0.00
ins50-8,540.6,0,0,0.00,0.00
ins50-9,608.7,0,0,0.00,0.00
ins50-10,679.3,0,0,0.00,0.00
ins75-1,1321.8,0,0,0.00,0.00
ins75-2,892.7,0,0,0.00,0.00
ins75-3,819.4,0,0,0.00,0.00
ins75-4,877.4,0,0,0.00,0.00
ins75-5,872.1,0,0,0.00,0.00
ins75-6,835.2,0,0,0.00,0.00
ins75-7,706.3,0,0,0.00,0.00
ins75-8,811.4,0,0,0.00,0.00
ins75-9,842.7,0,0,0.00,0.00
ins75-10,1306.6,0,0,0.00,0.00
ins100-1,1604.9,0,0,0.00,0.00
ins100-2,1101.9,0,0,0.00,0.00
ins100-3,986.4,0,0,0.00,0.00
ins100-4,871.0,0,0,0.00,0.00
ins100-5,1018.0,0,0,0.00,0.00
ins100-6,1003.0,0,0,0.00,0.00
ins100-7,921.1,0,0,0.00,0.00
ins100-8,884.6,0,0,0.00,0.00
ins100-9,1131.7,0,0,0.00,0.00
ins100-10,1053.6,0,0,0.00,0.00
ins200-1,1721.4,0,0,0.00,0.00
ins200-2,1763.8,0,0,0.00,0.00
ins200-3,1549.6,0,0,0.00,0.00
ins200-4,1420.4,0,0,0.00,0.00
ins200-5,1701.9,0,0,0.00,0.00
ins200-6,1639.7,0,0,0.00,0.00
ins200-7,1384.3,0,0,0.00,0.00
ins200-8,1544.6,0,0,0.00,0.00
ins200-9,1572.9,0,0,0.00,0.00
ins200-10,1581.0,0,0,0.00,0.00
ins300-1,2248.0,0,0,0.00,0.00
ins300-2,2316.1,0,0,0.00,0.00
ins300-3,1885.3,0,0,0.00,0.00
ins300-4,2023.2,0,0,0.00,0.00
ins300-5,2247.6,0,0,0.00,0.00
ins300-6,2144.4,0,0,0.00,0.00
ins300-7,1971.5,0,0,0.00,0.00
ins300-8,1987.4,0,0,0.00,0.00
ins300-9,2415.5,0,0,0.00,0.00
ins300-10,2373.4,0,0,0.00,0.00
